District,Soil_Type,Crop_Type,Day_After_Sowing,Temperature(°C),Humidity(%),Rainfall(mm),Area_in_Acre,Water_Requirement(L/day)
Godda,Black Soil,Mustard,132,22.2,66.4,14.6,0.87,4506.0
Bokaro,Clay Loam,Rice,30,24.2,59.3,43.0,9.09,17571.0
Seraikela-Kharsawan,Red Sandy Soil,Cotton,53,39.4,70.6,39.8,9.63,17356.0
Lohardaga,Alluvial Soil,Jowar,73,22.7,78.6,32.2,9.12,12888.0
Koderma,Alluvial Soil,Sesame,30,37.8,87.1,4.3,2.33,7711.0
Godda,Sandy Loam,Sugarcane,104,34.1,53.2,44.1,3.66,15292.0
Ranchi,Gravelly Soil,Barley,105,21.5,87.4,26.7,9.58,13274.0
Koderma,Sandy Loam,Groundnut,108,29.7,88.0,24.7,1.51,6046.0
Pakur,Gravelly Soil,Jowar,84,30.4,80.7,46.7,6.04,10225.0
Koderma,Laterite Soil,Linseed,92,38.6,84.1,0.4,5.11,10339.0
Koderma,Gravelly Soil,Sorghum,71,28.4,74.6,27.8,1.94,6586.0
Dumka,Clay Loam,Cotton,68,28.9,42.0,39.6,8.92,16458.0
Lohardaga,Red Sandy Soil,Sorghum,55,22.2,68.8,3.2,1.77,6462.0
Palamu,Black Soil,Sunflower,99,32.8,77.4,17.9,6.13,11630.0
Chatra,Gravelly Soil,Sorghum,97,24.2,87.1,48.9,3.52,6949.0
Chatra,Gravelly Soil,Sorghum,71,21.6,68.5,10.6,4.47,8963.0
Hazaribagh,Gravelly Soil,Maize,73,39.9,79.7,26.6,2.51,8777.0
Simdega,Red Sandy Soil,Sesame,77,25.4,75.3,37.3,6.43,10265.0
Simdega,Alluvial Soil,Sugarcane,108,22.8,54.0,19.5,9.89,20860.0
Bokaro,Red Sandy Soil,Millet,90,34.0,47.7,20.4,8.42,14181.0
Pakur,Alluvial Soil,Sorghum,99,36.4,77.5,3.2,6.99,12841.0
Sahebganj,Black Soil,Rice,3,21.3,51.7,9.5,7.69,16779.0
Hazaribagh,Clay Loam,Sugarcane,119,22.1,52.2,44.0,8.47,18934.0
Simdega,Red Sandy Soil,Jowar,111,21.8,72.2,40.9,4.99,8686.0
Jamtara,Alluvial Soil,Mustard,22,20.9,79.5,15.2,5.89,8991.0
Gumla,Clay Loam,Rice,116,33.2,69.1,19.1,9.01,18575.0
Palamu,Clay Loam,Millet,113,31.8,84.2,22.0,7.11,11524.0
Gumla,Alluvial Soil,Barley,24,33.3,50.6,17.3,1.79,7956.0
Ranchi,Alluvial Soil,Sunflower,27,30.1,52.6,32.7,7.91,13588.0
Seraikela-Kharsawan,Laterite Soil,Ragi,36,36.4,71.8,0.6,0.72,6594.0
Dumka,Clay Loam,Groundnut,107,30.9,81.5,44.0,8.55,13015.0
Pakur,Alluvial Soil,Sunflower,145,38.4,67.0,15.0,7.99,14420.0
Giridih,Clay Loam,Cotton,56,29.7,40.5,43.6,8.39,15973.0
Chatra,Red Sandy Soil,Wheat,10,35.8,73.8,22.7,0.72,7332.0
Palamu,Black Soil,Sunflower,54,28.1,80.7,38.8,9.74,14253.0
Lohardaga,Sandy Loam,Maize,81,28.7,53.8,41.3,6.33,11960.0
Latehar,Sandy Loam,Jowar,108,37.0,42.7,15.1,8.1,14717.0
Simdega,Gravelly Soil,Sesame,81,22.2,65.9,32.0,5.88,9783.0
Simdega,Alluvial Soil,Sugarcane,127,31.3,42.1,30.4,3.73,15689.0
Giridih,Alluvial Soil,Sunflower,98,34.5,60.8,23.8,3.31,9360.0
Lohardaga,Clay Loam,Mustard,132,35.0,40.9,23.5,1.16,6663.0
Godda,Gravelly Soil,Maize,61,31.8,51.2,15.3,5.65,12188.0
Giridih,Alluvial Soil,Ragi,149,29.0,59.4,15.5,1.86,7068.0
Simdega,Clay Loam,Mustard,36,25.2,45.6,27.4,5.89,10194.0
Godda,Alluvial Soil,Sugarcane,102,38.2,45.7,1.6,6.44,19557.0
Khunti,Clay Loam,Jowar,46,27.4,81.4,46.7,4.7,8564.0
Dhanbad,Alluvial Soil,Barley,95,36.0,42.1,32.5,1.99,8377.0
Gumla,Laterite Soil,Barley,71,20.6,74.4,22.2,4.61,8694.0
Koderma,Black Soil,Sunflower,44,24.6,80.7,3.1,8.85,13727.0
Koderma,Clay Loam,Sunflower,64,26.9,46.5,31.5,4.85,10415.0
Deoghar,Black Soil,Sorghum,146,33.4,49.8,0.9,3.76,10188.0
Dhanbad,Laterite Soil,Ragi,13,26.4,72.1,34.0,6.48,10677.0
Simdega,Laterite Soil,Millet,13,20.8,55.8,3.6,6.38,10914.0
Koderma,Laterite Soil,Ragi,25,23.5,63.8,32.8,1.36,5540.0
Giridih,Laterite Soil,Cotton,5,25.2,81.8,20.3,2.75,9110.0
Jamtara,Red Sandy Soil,Groundnut,128,23.5,46.9,33.1,5.2,10181.0
Palamu,Black Soil,Wheat,39,24.1,71.0,6.9,3.98,9822.0
Sahebganj,Gravelly Soil,Groundnut,108,35.4,87.1,5.9,3.54,9049.0
Seraikela-Kharsawan,Black Soil,Sunflower,138,28.2,42.9,12.4,4.73,10915.0
Ranchi,Sandy Loam,Ragi,25,28.1,43.0,20.6,3.26,8768.0
Latehar,Red Sandy Soil,Millet,74,39.3,67.7,12.7,3.8,9645.0
Sahebganj,Alluvial Soil,Barley,39,28.9,88.0,4.1,7.85,12718.0
Dumka,Alluvial Soil,Sorghum,16,38.6,51.0,16.3,5.35,11954.0
Pakur,Gravelly Soil,Mustard,32,26.0,56.5,35.3,8.79,12689.0
Lohardaga,Sandy Loam,Millet,63,28.0,44.9,29.2,9.51,14579.0
Latehar,Sandy Loam,Cotton,93,27.9,58.1,48.2,9.26,16043.0
Lohardaga,Sandy Loam,Sesame,45,30.9,42.2,21.8,2.91,8598.0
Palamu,Laterite Soil,Sorghum,53,31.7,59.5,16.6,4.99,10643.0
Dumka,Red Sandy Soil,Jowar,50,25.0,67.8,34.7,5.58,9852.0
Sahebganj,Alluvial Soil,Cotton,26,35.9,88.8,20.6,8.6,15814.0
Jamtara,Red Sandy Soil,Rice,131,29.9,80.9,30.9,5.81,14455.0
Seraikela-Kharsawan,Red Sandy Soil,Cotton,90,20.1,81.1,47.3,2.9,8231.0
Lohardaga,Red Sandy Soil,Jowar,39,31.8,51.4,25.0,5.7,11338.0
Sahebganj,Sandy Loam,Sorghum,53,36.0,44.4,24.9,0.92,7290.0
Lohardaga,Gravelly Soil,Ragi,22,25.0,70.2,38.8,8.42,12438.0
Khunti,Gravelly Soil,Maize,134,20.8,66.1,37.8,5.88,10421.0
Palamu,Sandy Loam,Sugarcane,52,36.1,65.8,25.8,6.69,18510.0
Deoghar,Alluvial Soil,Sorghum,75,39.5,45.5,3.2,2.41,9531.0
Deoghar,Alluvial Soil,Jowar,73,21.5,64.7,49.0,5.8,9529.0
Chatra,Alluvial Soil,Cotton,29,38.8,47.5,18.9,5.54,14317.0
Bokaro,Gravelly Soil,Sunflower,122,27.2,61.1,15.8,6.39,11861.0
Pakur,Gravelly Soil,Barley,86,38.8,43.1,49.1,8.55,14855.0
Pakur,Red Sandy Soil,Millet,46,33.0,82.8,43.6,7.76,11904.0
Sahebganj,Sandy Loam,Linseed,4,37.8,40.7,16.5,5.7,11829.0
Gumla,Laterite Soil,Millet,2,35.7,87.0,15.4,8.99,13842.0
Chatra,Red Sandy Soil,Ragi,133,20.6,83.1,36.0,3.9,7147.0
Koderma,Clay Loam,Millet,46,21.3,77.6,16.7,5.18,8848.0
Dumka,Gravelly Soil,Barley,79,30.5,89.1,12.6,6.67,11495.0
Lohardaga,Red Sandy Soil,Mustard,147,22.6,42.7,49.0,4.69,8389.0
Pakur,Sandy Loam,Sesame,59,29.2,72.1,28.3,3.93,8421.0
Koderma,Clay Loam,Sugarcane,72,39.1,82.5,38.1,1.57,12943.0
Jamtara,Black Soil,Jowar,20,25.9,46.3,35.7,6.54,11527.0
Gumla,Red Sandy Soil,Sorghum,53,29.8,69.2,37.8,2.33,7078.0
Deoghar,Sandy Loam,Cotton,107,27.7,59.7,45.2,1.81,8585.0
Pakur,Sandy Loam,Mustard,55,32.6,61.8,25.0,2.23,6836.0
Godda,Gravelly Soil,Cotton,121,23.9,85.6,37.7,7.04,12808.0
Seraikela-Kharsawan,Laterite Soil,Linseed,15,25.2,66.9,39.8,1.81,5427.0
Dhanbad,Red Sandy Soil,Millet,1,37.2,44.7,47.3,9.77,15403.0
Hazaribagh,Sandy Loam,Cotton,95,36.2,86.9,35.7,7.71,14709.0
Deoghar,Alluvial Soil,Sesame,137,35.8,49.3,44.6,4.23,9739.0
Giridih,Sandy Loam,Barley,18,35.4,84.6,4.8,6.14,11746.0
Jamtara,Laterite Soil,Maize,105,29.2,88.5,6.3,0.57,5909.0
Lohardaga,Sandy Loam,Sesame,65,34.6,83.9,7.9,8.52,13605.0
Palamu,Gravelly Soil,Cotton,77,27.7,73.9,7.2,3.08,10189.0
Seraikela-Kharsawan,Black Soil,Sesame,116,22.0,77.2,4.4,1.18,5276.0
Godda,Red Sandy Soil,Mustard,69,27.9,75.0,6.1,7.7,11818.0
Dumka,Gravelly Soil,Jowar,142,23.2,63.0,49.8,3.63,7564.0
Pakur,Red Sandy Soil,Sugarcane,75,27.8,53.7,13.6,5.89,17487.0
Deoghar,Clay Loam,Sunflower,51,25.9,54.3,23.9,8.52,13903.0
Seraikela-Kharsawan,Red Sandy Soil,Millet,15,32.0,76.6,41.1,7.87,12150.0
Giridih,Clay Loam,Rice,69,27.2,71.3,5.9,3.7,12863.0
Chatra,Gravelly Soil,Jowar,15,34.1,69.2,15.9,8.75,14266.0
Lohardaga,Alluvial Soil,Maize,30,30.2,72.6,8.0,4.19,10072.0
Latehar,Laterite Soil,Wheat,78,38.4,78.7,3.1,5.25,12367.0
Palamu,Alluvial Soil,Cotton,35,21.8,77.4,48.0,6.32,11918.0
Seraikela-Kharsawan,Clay Loam,Sorghum,69,33.8,45.3,42.9,1.17,6933.0
Khunti,Sandy Loam,Cotton,140,33.4,58.2,44.0,6.17,13584.0
Latehar,Sandy Loam,Ragi,46,39.0,53.2,43.4,5.99,11826.0
Koderma,Alluvial Soil,Sugarcane,126,27.4,66.9,7.7,8.8,20079.0
Giridih,Sandy Loam,Sorghum,85,26.1,43.1,39.2,3.86,8993.0
Jamtara,Clay Loam,Sugarcane,48,23.4,78.1,36.4,2.8,12769.0
Hazaribagh,Gravelly Soil,Linseed,67,25.3,45.3,46.3,5.03,9175.0
Godda,Laterite Soil,Sunflower,89,30.0,53.6,11.0,7.03,13102.0
Palamu,Black Soil,Millet,52,36.8,79.1,20.7,5.84,10933.0
Ranchi,Red Sandy Soil,Rice,22,25.7,42.6,14.7,1.81,11508.0
Pakur,Clay Loam,Rice,99,23.2,73.0,12.9,3.8,12372.0
Hazaribagh,Black Soil,Sesame,131,25.4,86.2,32.6,1.11,4712.0
Jamtara,Clay Loam,Barley,88,22.0,70.9,8.2,7.52,12129.0
Koderma,Red Sandy Soil,Linseed,136,38.5,75.6,23.2,8.89,13908.0
Sahebganj,Red Sandy Soil,Millet,118,37.5,79.6,32.3,0.93,5846.0
Latehar,Laterite Soil,Millet,39,26.2,51.1,6.5,5.49,10647.0
Koderma,Laterite Soil,Maize,18,24.9,69.0,12.8,5.88,11244.0
Dhanbad,Laterite Soil,Sorghum,105,38.1,55.5,48.4,4.67,10447.0
Deoghar,Sandy Loam,Groundnut,131,20.0,52.5,39.8,5.28,9609.0
Seraikela-Kharsawan,Clay Loam,Maize,146,32.0,49.6,33.8,7.25,13486.0
Hazaribagh,Gravelly Soil,Cotton,80,38.3,69.3,42.8,5.1,12695.0
Sahebganj,Red Sandy Soil,Wheat,117,30.2,79.7,0.7,9.24,15555.0
Pakur,Clay Loam,Millet,1,20.1,83.8,0.3,5.64,9330.0
Pakur,Black Soil,Rice,117,24.4,61.4,7.7,1.18,10324.0
Sahebganj,Clay Loam,Sunflower,128,38.4,58.6,24.8,9.56,16046.0
Dumka,Laterite Soil,Sugarcane,26,20.3,74.4,28.5,1.89,11818.0
Dhanbad,Laterite Soil,Wheat,12,27.9,79.0,5.7,7.95,13956.0
Seraikela-Kharsawan,Clay Loam,Sunflower,38,35.8,52.7,3.6,5.51,12337.0
Jamtara,Laterite Soil,Sesame,85,36.8,54.9,41.4,7.54,13045.0
Simdega,Sandy Loam,Rice,53,29.6,66.7,23.2,5.38,14575.0
Pakur,Red Sandy Soil,Rice,13,24.6,62.2,49.6,1.06,9362.0
Sahebganj,Black Soil,Wheat,128,32.0,75.3,11.5,4.06,10471.0
Bokaro,Clay Loam,Sugarcane,76,25.3,65.2,32.4,6.4,17026.0
Dumka,Red Sandy Soil,Ragi,13,25.1,45.6,40.2,6.47,11208.0
Godda,Sandy Loam,Linseed,146,36.2,48.3,43.6,9.74,14939.0
Deoghar,Black Soil,Linseed,147,23.1,85.1,15.3,6.26,9611.0
Deoghar,Laterite Soil,Groundnut,147,20.1,51.4,9.7,3.22,8194.0
Chatra,Alluvial Soil,Barley,48,26.7,42.5,11.3,0.91,6779.0
Gumla,Sandy Loam,Ragi,71,29.8,76.6,33.3,7.99,12406.0
Hazaribagh,Alluvial Soil,Millet,92,34.1,74.2,26.1,8.95,13812.0
Bokaro,Red Sandy Soil,Linseed,147,35.6,70.0,29.9,6.33,11092.0
Giridih,Clay Loam,Maize,86,33.3,65.1,1.0,5.08,11637.0
Sahebganj,Black Soil,Cotton,83,32.5,88.5,19.5,8.68,15585.0
Palamu,Laterite Soil,Maize,48,33.3,46.0,15.5,2.78,9620.0
Palamu,Black Soil,Rice,29,25.4,65.5,43.2,4.29,12701.0
Pakur,Sandy Loam,Millet,19,27.6,68.2,38.8,5.32,9458.0
Palamu,Laterite Soil,Sunflower,99,32.3,41.1,21.5,0.97,7437.0
Khunti,Alluvial Soil,Sesame,47,21.3,60.6,31.5,7.04,11022.0
Dhanbad,Alluvial Soil,Sugarcane,89,25.9,79.1,2.4,2.29,13159.0
Jamtara,Gravelly Soil,Sugarcane,60,28.1,63.6,31.9,3.66,14624.0
Khunti,Black Soil,Sugarcane,148,30.7,83.8,4.9,4.44,15598.0
Khunti,Clay Loam,Cotton,147,29.7,72.2,35.7,6.57,13360.0
Gumla,Alluvial Soil,Cotton,42,34.4,78.3,28.7,1.12,8337.0
Deoghar,Clay Loam,Ragi,77,29.5,80.2,15.0,3.74,8384.0
Lohardaga,Gravelly Soil,Sesame,76,38.1,74.5,18.5,3.11,8615.0
Palamu,Sandy Loam,Millet,143,27.6,77.5,4.5,0.51,5055.0
Lohardaga,Gravelly Soil,Linseed,68,30.5,74.8,16.1,7.07,11454.0
Jamtara,Clay Loam,Groundnut,79,20.1,67.5,48.3,2.74,6459.0
Seraikela-Kharsawan,Alluvial Soil,Rice,75,26.2,68.3,24.3,2.08,10865.0
Lohardaga,Red Sandy Soil,Sugarcane,87,37.3,49.5,23.7,8.08,20551.0
Godda,Clay Loam,Sugarcane,15,26.7,81.4,31.5,0.87,11168.0
Koderma,Laterite Soil,Sugarcane,90,25.1,55.6,24.2,9.05,20108.0
Sahebganj,Red Sandy Soil,Cotton,7,30.9,66.8,17.8,7.03,14460.0
Sahebganj,Black Soil,Groundnut,13,21.6,52.5,7.0,2.13,7275.0
Pakur,Clay Loam,Maize,13,30.6,74.8,31.5,3.83,9216.0
Simdega,Laterite Soil,Groundnut,148,26.1,88.8,37.4,9.52,13418.0
Dumka,Black Soil,Sesame,10,27.7,80.1,46.2,6.38,10123.0
Koderma,Gravelly Soil,Sunflower,124,35.8,71.0,0.2,6.28,12626.0
Latehar,Red Sandy Soil,Cotton,126,33.2,68.4,3.3,6.7,14602.0
Ranchi,Clay Loam,Maize,27,28.9,64.5,45.0,4.9,10155.0
Sahebganj,Sandy Loam,Wheat,100,31.6,50.2,31.6,2.09,8812.0
Bokaro,Gravelly Soil,Linseed,16,35.3,57.4,47.9,1.93,6680.0
Giridih,Laterite Soil,Millet,59,34.9,60.3,21.5,7.03,12481.0
Seraikela-Kharsawan,Sandy Loam,Linseed,21,23.7,87.2,20.8,8.9,12138.0
Koderma,Alluvial Soil,Sesame,16,26.0,61.3,17.2,3.35,8067.0
Dumka,Gravelly Soil,Ragi,13,27.0,69.3,7.1,5.28,10159.0
Sahebganj,Gravelly Soil,Wheat,33,23.8,86.1,18.9,9.93,15049.0
Koderma,Clay Loam,Millet,69,20.2,65.9,0.7,2.94,7169.0
Ranchi,Clay Loam,Sugarcane,52,23.5,52.6,25.5,4.21,15172.0
Koderma,Laterite Soil,Wheat,65,36.2,59.1,42.4,3.95,10649.0
Godda,Gravelly Soil,Ragi,44,30.9,58.8,16.1,0.81,6214.0
Chatra,Clay Loam,Cotton,79,26.8,75.7,4.7,5.34,12355.0
Pakur,Alluvial Soil,Rice,16,32.2,54.8,48.7,2.48,11782.0
Dhanbad,Black Soil,Maize,18,34.8,76.5,6.4,1.72,7977.0
Bokaro,Black Soil,Mustard,17,27.1,84.5,26.4,7.25,10597.0
Bokaro,Black Soil,Jowar,52,29.3,56.8,40.5,7.77,12686.0
Simdega,Clay Loam,Rice,56,21.3,46.8,12.6,8.94,18114.0
Khunti,Gravelly Soil,Sesame,93,31.9,71.9,42.1,9.37,13861.0
Dumka,Black Soil,Sunflower,9,27.1,58.0,27.9,8.76,14072.0
Giridih,Red Sandy Soil,Linseed,145,28.7,66.7,16.6,1.66,6097.0
Koderma,Sandy Loam,Wheat,27,28.5,71.7,43.3,2.62,8153.0
Lohardaga,Gravelly Soil,Maize,37,32.6,60.4,31.1,1.66,7686.0
Ranchi,Alluvial Soil,Sorghum,22,31.4,86.2,30.8,3.86,8398.0
Pakur,Gravelly Soil,Sorghum,72,28.4,60.0,25.2,1.68,6816.0
Hazaribagh,Alluvial Soil,Wheat,99,20.3,55.4,13.7,6.71,12504.0
Koderma,Gravelly Soil,Wheat,72,32.4,84.3,15.2,7.31,13417.0
Godda,Black Soil,Ragi,123,37.6,46.8,4.4,2.02,8688.0
Simdega,Sandy Loam,Sunflower,91,35.4,46.2,12.2,6.4,13210.0
Hazaribagh,Sandy Loam,Barley,36,39.6,86.8,13.9,0.72,6498.0
Koderma,Alluvial Soil,Mustard,98,22.8,50.4,2.9,4.63,9040.0
Gumla,Gravelly Soil,Barley,42,24.5,47.4,5.5,3.21,8828.0
Godda,Sandy Loam,Sunflower,111,30.8,66.8,13.5,9.99,15696.0
Hazaribagh,Laterite Soil,Barley,13,24.7,42.3,33.9,9.27,14493.0
Koderma,Gravelly Soil,Linseed,79,20.7,71.0,9.2,1.9,5556.0
Bokaro,Sandy Loam,Groundnut,118,28.0,62.6,26.1,9.22,14320.0
Godda,Red Sandy Soil,Cotton,52,25.8,72.0,25.4,4.48,11092.0
Hazaribagh,Red Sandy Soil,Sorghum,95,25.3,54.2,41.7,5.98,10650.0
Lohardaga,Laterite Soil,Cotton,112,39.1,85.3,30.5,5.57,13011.0
Koderma,Sandy Loam,Barley,58,24.8,53.5,45.8,7.4,12059.0
Simdega,Red Sandy Soil,Sugarcane,87,22.6,71.9,31.4,3.68,13855.0
Giridih,Black Soil,Groundnut,3,22.5,87.3,1.3,1.16,5465.0
Sahebganj,Gravelly Soil,Ragi,116,36.1,60.0,19.1,4.47,10298.0
Pakur,Clay Loam,Wheat,16,34.3,48.1,35.0,5.67,12657.0
Khunti,Sandy Loam,Mustard,130,22.6,43.4,23.8,5.77,9952.0
Koderma,Laterite Soil,Barley,23,24.4,88.2,21.0,8.03,12104.0
Deoghar,Sandy Loam,Mustard,98,34.9,78.2,33.6,0.92,5092.0
Palamu,Alluvial Soil,Ragi,10,25.5,85.9,14.3,9.89,13977.0
Simdega,Alluvial Soil,Millet,65,39.6,74.9,45.4,9.91,14915.0
Giridih,Red Sandy Soil,Groundnut,22,30.8,57.1,20.7,1.44,7093.0
Hazaribagh,Alluvial Soil,Mustard,52,23.8,46.2,31.6,3.77,7832.0
Chatra,Laterite Soil,Wheat,111,37.2,86.5,49.1,6.11,11953.0
Godda,Red Sandy Soil,Sesame,80,26.4,64.5,39.3,4.05,8269.0
Deoghar,Laterite Soil,Millet,133,25.8,59.8,26.6,5.13,9584.0
Koderma,Gravelly Soil,Sugarcane,53,26.5,68.9,43.0,3.6,14023.0
Koderma,Laterite Soil,Wheat,23,35.4,45.3,28.0,7.27,14591.0
Khunti,Alluvial Soil,Jowar,106,23.5,55.5,22.1,3.96,8703.0
Deoghar,Gravelly Soil,Cotton,91,27.6,71.9,43.7,4.58,11009.0
Godda,Alluvial Soil,Rice,119,20.6,45.0,1.4,5.97,15352.0
Godda,Laterite Soil,Linseed,138,36.5,46.8,20.4,9.71,15448.0
Koderma,Alluvial Soil,Maize,120,26.8,65.5,17.1,6.6,12173.0
Hazaribagh,Alluvial Soil,Linseed,93,25.0,71.2,35.7,1.42,4970.0
Khunti,Alluvial Soil,Sorghum,62,31.6,49.4,0.6,3.53,9796.0
Bokaro,Sandy Loam,Rice,82,34.1,41.7,33.0,4.49,14689.0
Deoghar,Gravelly Soil,Linseed,7,36.3,87.9,17.3,7.53,12077.0
Sahebganj,Gravelly Soil,Sugarcane,100,27.0,41.4,4.9,4.75,16810.0
Giridih,Black Soil,Cotton,74,36.2,40.1,49.0,6.76,14897.0
Koderma,Gravelly Soil,Mustard,138,29.3,56.2,10.6,8.48,13212.0
Chatra,Black Soil,Groundnut,57,22.0,51.1,17.5,1.49,6507.0
Ranchi,Laterite Soil,Wheat,30,36.9,68.7,10.4,7.77,14891.0
Ranchi,Black Soil,Ragi,3,31.0,84.7,33.1,7.58,11877.0
Khunti,Black Soil,Cotton,14,32.0,64.1,39.1,8.29,15485.0
Deoghar,Clay Loam,Cotton,77,38.7,78.7,43.0,9.58,16929.0
Jamtara,Laterite Soil,Sorghum,83,31.2,85.5,15.5,3.44,8285.0
Dumka,Gravelly Soil,Barley,138,20.1,49.5,26.2,4.58,9281.0
Godda,Red Sandy Soil,Maize,79,37.4,64.4,33.2,3.0,9344.0
Ranchi,Alluvial Soil,Wheat,38,25.7,72.1,31.5,3.61,9087.0
Ranchi,Alluvial Soil,Sorghum,142,30.0,56.6,35.8,3.63,8816.0
Simdega,Clay Loam,Cotton,40,24.1,77.0,38.5,8.76,14790.0
Giridih,Red Sandy Soil,Barley,140,25.9,75.3,4.9,1.1,6033.0
Seraikela-Kharsawan,Sandy Loam,Millet,142,33.7,61.1,8.4,2.43,7999.0
Ranchi,Black Soil,Sugarcane,129,28.6,44.4,36.7,6.3,17794.0
Seraikela-Kharsawan,Laterite Soil,Sugarcane,68,32.5,40.6,23.8,7.77,20026.0
Dhanbad,Sandy Loam,Sesame,49,36.5,58.5,21.4,7.13,12897.0
Jamtara,Red Sandy Soil,Groundnut,18,26.8,44.1,22.8,0.94,6541.0
Chatra,Clay Loam,Sesame,64,31.4,79.1,18.6,4.81,9505.0
Latehar,Red Sandy Soil,Sesame,96,35.6,56.7,29.6,2.25,7817.0
Sahebganj,Clay Loam,Groundnut,28,34.3,73.3,16.2,9.89,15497.0
Latehar,Sandy Loam,Cotton,25,30.8,57.3,31.8,9.99,17415.0
Bokaro,Sandy Loam,Cotton,148,27.7,79.8,10.1,0.98,7854.0
Giridih,Red Sandy Soil,Ragi,30,28.2,84.4,37.9,6.84,10770.0
Sahebganj,Red Sandy Soil,Wheat,102,28.7,81.9,39.1,8.22,13551.0
Hazaribagh,Black Soil,Sorghum,117,27.0,64.2,28.9,3.59,8386.0
Giridih,Alluvial Soil,Maize,106,34.0,44.2,18.5,7.09,13994.0
Bokaro,Clay Loam,Sorghum,74,22.5,58.6,0.7,2.28,7358.0
Bokaro,Alluvial Soil,Cotton,69,39.3,61.2,6.1,1.72,10392.0
Deoghar,Laterite Soil,Sesame,8,35.6,88.0,4.0,9.29,14430.0
Seraikela-Kharsawan,Laterite Soil,Sugarcane,123,26.0,68.3,0.5,6.6,17841.0
Simdega,Red Sandy Soil,Mustard,97,20.9,72.0,36.1,8.26,11168.0
Giridih,Sandy Loam,Sorghum,101,34.2,79.1,47.8,5.56,10251.0
Koderma,Laterite Soil,Cotton,1,34.7,68.4,0.6,1.97,10076.0
Seraikela-Kharsawan,Laterite Soil,Barley,95,39.3,69.9,5.6,4.08,10501.0
Ranchi,Alluvial Soil,Linseed,7,25.1,52.3,43.0,8.88,12861.0
Latehar,Alluvial Soil,Sugarcane,62,21.7,42.9,34.4,0.65,11545.0
Bokaro,Black Soil,Cotton,111,38.3,76.1,20.2,2.47,10313.0
Sahebganj,Black Soil,Rice,87,25.2,82.4,49.6,2.91,10666.0
Latehar,Laterite Soil,Rice,87,34.4,60.6,28.7,3.0,12748.0
Lohardaga,Red Sandy Soil,Rice,123,21.2,67.4,33.5,1.44,9568.0
Latehar,Alluvial Soil,Maize,8,35.2,55.4,32.7,8.56,14964.0
Lohardaga,Laterite Soil,Jowar,64,22.5,62.5,11.1,2.02,6673.0
Seraikela-Kharsawan,Sandy Loam,Sesame,136,33.9,50.4,24.4,8.38,14070.0
Palamu,Alluvial Soil,Ragi,131,30.6,78.0,10.8,3.87,8774.0
Dhanbad,Laterite Soil,Barley,127,39.1,64.6,25.5,4.84,11002.0
Khunti,Black Soil,Barley,127,20.7,67.4,1.5,4.9,9618.0
Ranchi,Clay Loam,Sugarcane,116,25.8,41.9,19.1,7.27,18911.0
Hazaribagh,Alluvial Soil,Sesame,49,21.4,71.1,18.6,7.45,11385.0
Gumla,Clay Loam,Sesame,130,37.6,50.1,14.6,6.59,12855.0
Dumka,Alluvial Soil,Sorghum,127,31.9,59.2,4.0,7.85,13784.0
Jamtara,Alluvial Soil,Mustard,137,30.7,60.6,38.5,0.58,4762.0
Latehar,Black Soil,Sugarcane,46,22.6,62.4,21.0,5.3,15968.0
Sahebganj,Gravelly Soil,Sorghum,65,29.8,51.4,40.7,5.48,10704.0
Simdega,Gravelly Soil,Wheat,90,28.0,82.5,41.8,2.77,7959.0
Ranchi,Clay Loam,Millet,29,26.3,61.4,10.7,5.79,10564.0
Giridih,Red Sandy Soil,Rice,33,35.4,70.6,21.1,4.94,14640.0
Simdega,Laterite Soil,Mustard,28,21.2,70.7,36.0,4.99,7969.0
Latehar,Red Sandy Soil,Millet,95,32.9,70.3,25.0,1.63,6511.0
Dhanbad,Red Sandy Soil,Sesame,83,36.5,68.0,42.8,4.63,9684.0
Gumla,Gravelly Soil,Millet,112,38.1,81.1,28.6,7.78,12785.0
Khunti,Laterite Soil,Sesame,114,34.9,80.6,31.5,4.39,9132.0
Sahebganj,Gravelly Soil,Millet,29,25.6,60.9,39.4,5.13,9275.0
Dhanbad,Gravelly Soil,Maize,139,32.0,71.8,6.1,9.69,15814.0
Lohardaga,Black Soil,Cotton,102,22.8,45.1,29.2,8.78,15823.0
Latehar,Gravelly Soil,Millet,104,22.3,44.5,4.3,9.32,14329.0
Pakur,Sandy Loam,Cotton,48,32.8,64.0,13.0,1.24,9040.0
Pakur,Red Sandy Soil,Groundnut,124,37.0,85.0,10.6,6.38,12018.0
Godda,Black Soil,Rice,111,21.3,72.5,28.4,2.62,10707.0
Sahebganj,Black Soil,Linseed,24,22.1,73.5,42.2,4.34,7401.0
Palamu,Red Sandy Soil,Millet,23,31.3,47.9,6.6,6.96,12721.0
Sahebganj,Black Soil,Barley,16,24.4,62.7,38.4,6.0,10491.0
Seraikela-Kharsawan,Red Sandy Soil,Cotton,27,32.2,60.0,7.2,5.3,13276.0
Godda,Sandy Loam,Sorghum,133,24.3,79.1,9.5,8.24,12707.0
Hazaribagh,Alluvial Soil,Barley,35,22.3,46.9,45.8,6.98,11587.0
Dumka,Black Soil,Ragi,56,30.9,67.0,0.5,8.3,13770.0
Dumka,Clay Loam,Barley,127,37.2,85.6,9.9,9.35,15004.0
Godda,Clay Loam,Jowar,138,33.7,84.6,10.8,7.26,12376.0
